sample,rep_1,rep_2,Pass_coverage,hhsubid
103001010,5853.02899374645,5307.28351670401,Pass,103001
103002006,6157.64856368926,3009.55352305789,Pass,103002
103002007,9159.73353844096,9689.36096712704,Pass,103002
103002008,5438.30953416045,4936.73751797479,Pass,103002
103002009,7314.69788984383,4628.27625990703,Pass,103002
103002010,3736.89907367154,8428.88419222152,Pass,103002
103101002,5443.79874928937,4566.86977895194,Pass,103101
103101003,2613.84891148045,6001.35441260074,Pass,103101
103101004,2600.57298598803,13756.67009999,Pass,103101
103101005,6654.65872989332,10671.7271845634,Pass,103101
103101006,8835.12069023175,11663.2374343711,Pass,103101
103101007,3670.70026418754,3764.82904725278,Pass,103101
103101010,1481.47192589372,2241.48934889476,Pass,103101
103201002,4368.60311674414,8736.51436310738,Pass,103201
103201003,3187.55720161857,10117.7727652744,Pass,103201
103201004,4367.29752867605,3278.21425943885,Pass,103201
103201005,7683.84994816574,12333.5025917132,Pass,103201
103201006,6281.4570444437,3147.5607464134,Pass,103201
103201007,6622.37501254055,1783.69237200281,Pass,103201
103202001,6744.78614185868,7679.29224492526,Pass,103202
103202003,8855.9129853192,6148.14871417584,Pass,103202
103202004,6521.84513259539,2999.07417315988,Pass,103202
103202005,10378.0645085777,9592.4958699796,Pass,103202
103202006,6463.38919171989,10486.7599906364,Pass,103202
103202007,4564.10313346487,3225.1815202488,Pass,103202
103202008,4915.76932080393,8764.69581647326,Pass,103202
103202009,1747.78965321205,2528.32361301542,Pass,103202
103202010,2645.4692171354,5281.49061967027,Pass,103202
103301002,9487.54258770023,7315.03758820185,Pass,103301
103301003,5894.59886967863,11926.6157910578,Pass,103301
103301004,5758.83921345684,5429.8216232485,Pass,103301
103301006,3157.08280105675,2540.78182791024,Pass,103301
103302006,7193.01324281845,4064.00361167776,Pass,103302
103302008,10263.3726047554,13574.2253954453,Pass,103302
103302009,5104.50911279805,1719.17449754205,Pass,103302
103302010,5282.20064876434,14730.8952947865,Pass,103302
103401002,5822.29803029796,6413.44567434706,Pass,103401
103401003,3670.5965956593,4711.63642443902,Pass,103401
103401004,10192.1512557269,9522.2747550413,Pass,103401
103401005,3693.70594923586,4719.25479048925,Pass,103401
103401006,5936.56626425442,3316.29271310571,Pass,103401
103401007,6648.13721031335,4750.28559007457,Pass,103401
103402001,6605.51148714176,16637.0182590376,Pass,103402
103402003,3115.44283182289,5001.14389860549,Pass,103402
103402004,11240.7308296826,14166.2645888372,Pass,103402
103402005,6646.85486406046,8021.20319031535,Pass,103402
